NACA2413
  1.000091,  0.001362
  0.998565,  0.001698
  0.993995,  0.002700
  0.986409,  0.004350
  0.975849,  0.006617
  0.962377,  0.009461
  0.946071,  0.012830
  0.927025,  0.016668
  0.905352,  0.020910
  0.881179,  0.025487
  0.854650,  0.030327
  0.825922,  0.035356
  0.795167,  0.040500
  0.762571,  0.045682
  0.728331,  0.050828
  0.692655,  0.055862
  0.655762,  0.060711
  0.617876,  0.065300
  0.579233,  0.069557
  0.540072,  0.073411
  0.500637,  0.076793
  0.461175,  0.079637
  0.421933,  0.081884
  0.383012,  0.083458
  0.344612,  0.084162
  0.307174,  0.083940
  0.270947,  0.082787
  0.236172,  0.080714
  0.203080,  0.077751
  0.171891,  0.073944
  0.142809,  0.069355
  0.116023,  0.064062
  0.091705,  0.058152
  0.070006,  0.051721
  0.051060,  0.044869
  0.034977,  0.037697
  0.021850,  0.030301
  0.011748,  0.022766
  0.004722,  0.015169
  0.000803,  0.007567
  0.000000,  0.000000
  0.002280, -0.007259
  0.007589, -0.013947
  0.015882, -0.020051
  0.027094, -0.025556
  0.041143, -0.030447
  0.057934, -0.034712
  0.077354, -0.038342
  0.099278, -0.041333
  0.123571, -0.043690
  0.150085, -0.045428
  0.178661, -0.046569
  0.209135, -0.047150
  0.241329, -0.047214
  0.275062, -0.046819
  0.310142, -0.046026
  0.346371, -0.044905
  0.383543, -0.043528
  0.421633, -0.041937
  0.460366, -0.040048
  0.499363, -0.037904
  0.538387, -0.035565
  0.577201, -0.033086
  0.615569, -0.030519
  0.653255, -0.027908
  0.690028, -0.025293
  0.725659, -0.022709
  0.759927, -0.020182
  0.792618, -0.017739
  0.823526, -0.015400
  0.852457, -0.013184
  0.879227, -0.011108
  0.903665, -0.009191
  0.925615, -0.007447
  0.944936, -0.005894
  0.961502, -0.004547
  0.975207, -0.003421
  0.985961, -0.002529
  0.993693, -0.001884
  0.998353, -0.001493
  0.999909, -0.001362
