NACA4415
  1.000208  0.001561
  0.998702  0.002034
  0.994191  0.003444
  0.986699  0.005765
  0.976264  0.008953
  0.962943  0.012948
  0.946806  0.017680
  0.927939  0.023063
  0.906446  0.029004
  0.882446  0.035402
  0.856074  0.042151
  0.827479  0.049142
  0.796825  0.056264
  0.764292  0.063407
  0.730072  0.070461
  0.694368  0.077316
  0.657397  0.083868
  0.619383  0.090013
  0.580561  0.095653
  0.541174  0.100694
  0.501470  0.105048
  0.461703  0.108634
  0.422129  0.111382
  0.382665  0.113189
  0.343463  0.113698
  0.305237  0.112836
  0.268264  0.110628
  0.232815  0.107126
  0.199146  0.102407
  0.167500  0.096576
  0.138101  0.089755
  0.111151  0.082086
  0.086827  0.073724
  0.065285  0.064830
  0.046652  0.055567
  0.031031  0.046094
  0.018499  0.036555
  0.009110  0.027083
  0.002895  0.017783
 -0.000138  0.008738
  0.000000  0.000000
  0.003221 -0.008123
  0.009417 -0.015339
  0.018520 -0.021652
  0.030445 -0.027066
  0.045090 -0.031594
  0.062341 -0.035254
  0.082075 -0.038073
  0.104156 -0.040087
  0.128443 -0.041343
  0.154792 -0.041899
  0.183052 -0.041826
  0.213069 -0.041205
  0.244687 -0.040126
  0.277745 -0.038692
  0.312080 -0.037008
  0.347520 -0.035184
  0.383890 -0.033329
  0.421437 -0.031487
  0.459838 -0.029455
  0.498530 -0.027270
  0.537285 -0.025002
  0.575873 -0.022711
  0.614063 -0.020451
  0.651620 -0.018262
  0.688315 -0.016178
  0.723918 -0.014222
  0.758206 -0.012408
  0.790960 -0.010742
  0.821969 -0.009229
  0.851033 -0.007864
  0.877960 -0.006645
  0.902571 -0.005566
  0.924701 -0.004621
  0.944201 -0.003807
  0.960936 -0.003121
  0.974792 -0.002560
  0.985671 -0.002123
  0.993497 -0.001811
  0.998215 -0.001624
  0.999792 -0.001561
